problem,algorithm,hv_mean,igd_mean,delta_hv_vs_full,delta_igd_vs_full
zdt1,improved_nsga2_incremental_baseline,0.8555005625004352,0.02158994198244328,-0.012849811690074597,0.016549648649945244
zdt1,improved_nsga2_incremental_plus_de_adaptive,0.8708899314237032,0.004359021358327662,0.0025395572331934346,-0.0006812719741703752
zdt1,improved_nsga2_incremental_plus_de_fixed,0.8709286644143527,0.004330509199842581,0.0025782902238429273,-0.0007097841326554567
zdt1,improved_nsga2_incremental_plus_obl_init,0.8522377464443431,0.026372032118092636,-0.01611262774616662,0.0213317387855946
zdt1,improved_nsga2_incremental_plus_periodic_obl,0.8553102711851871,0.023938504506595244,-0.013040103005322656,0.018898211174097207
zdt1,improved_nsga2_incremental_plus_restart,0.8518488136344586,0.024261435444892124,-0.01650156055605112,0.019221142112394087
zdt2,improved_nsga2_incremental_baseline,0.3475374158147744,0.17806590986731197,-0.1864534340974069,0.1725643394781461
zdt2,improved_nsga2_incremental_plus_de_adaptive,0.5376026623342431,0.004883719585862538,0.0036118124220618775,-0.0006178508033033298
zdt2,improved_nsga2_incremental_plus_de_fixed,0.5376556292997219,0.004688587978377576,0.0036647793875406176,-0.0008129824107882917
zdt2,improved_nsga2_incremental_plus_obl_init,0.48227680695979575,0.03857747541581636,-0.05171404295238552,0.03307590502665049
zdt2,improved_nsga2_incremental_plus_periodic_obl,0.36815366449253323,0.16289407909202808,-0.16583718541964804,0.1573925087028622
zdt2,improved_nsga2_incremental_plus_restart,0.3299739626567632,0.20370879804462816,-0.20401688725541806,0.19820722765546228
zdt3,improved_nsga2_incremental_baseline,1.0706267390282993,0.042028638358782476,-0.022218560898304984,0.0364172095759581
zdt3,improved_nsga2_incremental_plus_de_adaptive,1.0958922593911262,0.005283258469326739,0.0030469594645219367,-0.00032817031349763846
zdt3,improved_nsga2_incremental_plus_de_fixed,1.0959554983434034,0.004847533064711353,0.003110198416799159,-0.0007638957181130245
zdt3,improved_nsga2_incremental_plus_obl_init,1.0569524831969241,0.055549118540326056,-0.035892816729680144,0.04993768975750168
zdt3,improved_nsga2_incremental_plus_periodic_obl,1.0889444778600437,0.01680732758755322,-0.0039008220665606164,0.011195898804728845
zdt3,improved_nsga2_incremental_plus_restart,1.0710870185311485,0.04203632702894859,-0.02175828139545577,0.036424898246124215
zdt4,improved_nsga2_incremental_baseline,0.0,6.4983503576820665,-0.8624163644005568,6.490396288853398
zdt4,improved_nsga2_incremental_plus_de_adaptive,0.47334346000007566,0.27537942957850475,-0.38907290440048115,0.26742536074983614
zdt4,improved_nsga2_incremental_plus_de_fixed,0.24633775521332316,0.7314130081401216,-0.6160786091872337,0.7234589393114529
zdt4,improved_nsga2_incremental_plus_obl_init,0.0,5.806837289827297,-0.8624163644005568,5.798883220998628
zdt4,improved_nsga2_incremental_plus_periodic_obl,0.0069973761287971835,2.4991199842501444,-0.8554189882717597,2.4911659154214756
zdt4,improved_nsga2_incremental_plus_restart,0.0,6.4983503576820665,-0.8624163644005568,6.490396288853398
zdt6,improved_nsga2_incremental_baseline,0.4017955653323787,0.004470066745678468,0.018941840596871207,-0.012658751071918127
zdt6,improved_nsga2_incremental_plus_de_adaptive,0.4030802061859172,0.0038758932791280046,0.020226481450409728,-0.013252924538468592
zdt6,improved_nsga2_incremental_plus_de_fixed,0.4031587106823934,0.0038605132575933827,0.0203049859468859,-0.013268304560003212
zdt6,improved_nsga2_incremental_plus_obl_init,0.4023214137618417,0.004201100899266405,0.019467689026334223,-0.01292771691833019
zdt6,improved_nsga2_incremental_plus_periodic_obl,0.4018068279224661,0.004377263421204128,0.018953103186958586,-0.012751554396392467
zdt6,improved_nsga2_incremental_plus_restart,0.4017955653323787,0.004470066745678468,0.018941840596871207,-0.012658751071918127
